id	category
I25.1	I00-I99
I20	I00-I99
I21	I00-I99
K70.3	K00-K95
K76.6	K00-K95
I46	I00-I99
A17	A00-B99
G03	G00-G99
I10	I00-I99
N18.9	N00-N99
A15	A00-B99
B44	A00-B99
G96.0	G00-G99
D13.7	C00-D49
E16.1	E00-E89
H66.9	H60-H95
H70.9	H60-H95
E28.3	E00-E89
N91.1	N00-N99
B57	A00-B99
I42.0	I00-I99
H35.1	H00-H59
H54	H00-H59
I78.0	I00-I99
I77.0	I00-I99
I51.9	I00-I99
E71	E00-E89
N08	N00-N99
K00.1	K00-K95
K09.0	K00-K95
I86.1	I00-I99
N46	N00-N99
J12.9	J00-J99
J96.0	J00-J99
C90.0	C00-D49
N17.9	N00-N99
J15.9	J00-J99
C18.0	C00-D49
K56.1	K00-K95
I51.7	I00-I99
J94.8	J00-J99
E74	E00-E89
I51.4	I00-I99
F10.1	F01-F99
E44	E00-E89
Q87.4	Q00-Q99
I72	I00-I99
I15.0	I00-I99
I47.2	I00-I99
E06.1	E00-E89
E05.9	E00-E89
E41	E00-E89
K73.9	K00-K95
K81	K00-K95
I63	I00-I99
I67.9	I00-I99
N19	N00-N99
N17.0	N00-N99
E87.2	E00-E89
I50.9	I00-I99
K85	K00-K95
D73.5	C00-D49
H02.1	H00-H59
H04.2	H00-H59
I70	I00-I99
I22	I00-I99
G00	G00-G99
G91	G00-G99
G20	G00-G99
G24	G00-G99
J18.0	J00-J99
E11	E00-E89
K22.0	K00-K95
J69.0	J00-J99
N23	N00-N99
N13.9	N00-N99
E46	E00-E89
M34	M00-M99
I73.0	I00-I99
K76.9	K00-K95
G93.9	G00-G99
J45	J00-J99
K26	K00-K95
K31.1	K00-K95
N03	N00-N99
E87.7	E00-E89
H34.1	H00-H59
D65	C00-D49
D69.6	C00-D49
D64.9	C00-D49
N40	N00-N99
N32.0	N00-N99
C22.0	C00-D49
E16.2	E00-E89
I33.0	I00-I99
I73.9	I00-I99
K76.7	K00-K95
G62.9	G00-G99
G12.2	G00-G99
H26	H00-H59
H40	H00-H59
A16	A00-B99
J98.4	J00-J99
Q23.1	Q00-Q99
Q25.1	Q00-Q99
H18.6	H00-H59
H52.1	H00-H59
K90.0	K00-K95
D73.0	C00-D49
E10	E00-E89
I12	I00-I99
N12	N00-N99
I50.1	I00-I99
M32.9	M00-M99
I15	I00-I99
I71.9	I00-I99
I42	I00-I99
I47.1	I00-I99
N28.9	N00-N99
E87.5	E00-E89
J84.9	J00-J99
I26	I00-I99
E03.9	E00-E89
E78.5	E00-E89
I11	I00-I99
M32	M00-M99
E78	E00-E89
C61	C00-D49
H50.8	H00-H59
H53.2	H00-H59
I31.3	I00-I99
A48.1	A00-B99
J17	J00-J99
E55	E00-E89
E21.3	E00-E89
D45	C00-D49
J81	J00-J99
N20.0	N00-N99
E13	E00-E89
D86	C00-D49
I05.1	I00-I99
J94.2	J00-J99
N20	N00-N99
K29.7	K00-K95
K92.0	K00-K95
E85	E00-E89
G35	G00-G99
I25.3	I00-I99
I82.0	I00-I99
E06.0	E00-E89
M34.0	M00-M99
E20	E00-E89
I81	I00-I99
I25.5	I00-I99
B34.9	A00-B99
I42.6	I00-I99
E66.9	E00-E89
E53.8	E00-E89
I95.1	I00-I99
E23.0	E00-E89
K21.9	K00-K95
K22.7	K00-K95
N10	N00-N99
H20.9	H00-H59
I25.2	I00-I99
C18.9	C00-D49
K52.9	K00-K95
D50	C00-D49
E05.0	E00-E89
J44.9	J00-J99
E06.3	E00-E89
N03.2	N00-N99
N04	N00-N99
D59.3	C00-D49
N11	N00-N99
E74.0	E00-E89
H49.0	H00-H59
H50.1	H00-H59
D58.2	C00-D49
J47	J00-J99
I44.3	I00-I99
I45.2	I00-I99
D69.3	C00-D49
E86	E00-E89
